Country,Cases_in_the_last_7_days,Cases_in_the_preceding_7_days,Weekly_Case_%_Change,Cases_in_the_last_7_days/1M_pop,Deaths_in_the_last_7_days,Deaths_in_the_preceding_7_days,Weekly_Death_%_Change,Deaths_in_the_last_7_days/1M_pop,Population
USA,630356,919852,-31,0,1870,2773,-33,0,0
Brazil,229820,262568,-12,1065,1500,1634,-8,7,215703263
Italy,351248,473649,-26,5827,1165,1019,14,19,60276909
Germany,446169,603706,-26,5290,815,774,5,10,84341285
Japan,1416905,1112517,27,11275,754,330,128,6,125671231
Australia,290043,322924,-10,11106,657,510,29,25,26115548
Mexico,133076,174278,-24,1010,641,586,9,5,131751514
France,290324,462520,-37,4427,601,700,-14,9,65573982
Iran,61112,59421,3,709,376,226,66,4,86230076
Spain,41133,72704,-43,879,325,752,-57,7,46792448
India,128380,135145,-5,91,310,342,-9,0.2,1408236258
Taiwan,155543,162844,-4,6506,308,425,-28,13,23906450
Peru,64465,85546,-25,1900,295,242,22,9,33927630
Russia,77094,45965,68,528,281,276,2,2,146064628
Greece,89425,132967,-33,8668,270,318,-15,26,10317182
New Zealand,48821,60987,-20,9760,265,178,49,53,5002100
Chile,57276,50328,14,2944,236,253,-7,12,19457638
Thailand,14706,16453,-11,210,207,193,7,3,70164343
S. Korea,585675,485171,21,11403,177,142,25,3,51360968
UK,13066,87681,-85,190,176,1194,-85,3,68627954
Romania,56481,49184,15,2977,155,70,121,8,18970854
Austria,50224,75070,-33,5511,116,66,76,13,9113317
Guatemala,22024,31634,-30,1184,111,102,9,6,18605212
Canada,14097,25558,-45,367,109,234,-53,3,38430718
Indonesia,37748,35442,7,135,99,64,55,0.4,279542137
Israel,25521,38322,-33,2737,95,96,-1,10,9326000
Czechia,16156,16639,-3,1503,94,50,88,9,10750310
Croatia,8867,9616,-8,2188,87,80,9,21,4052626
Colombia,5188,19873,-74,100,70,240,-71,1,52011425
Poland,21186,18701,13,561,68,49,39,2,37760394
Belgium,21676,30674,-29,1854,67,96,-30,6,11694561
Serbia,40886,31172,31,4719,67,51,31,8,8664181
Portugal,21414,28838,-26,2113,66,73,-10,7,10134876
Argentina,37675,44881,-16,818,65,80,-19,1,46058736
Bulgaria,11178,11550,-3,1634,64,43,49,9,6839692
Denmark,8112,9879,-18,1390,64,51,25,11,5834637
Tunisia,5967,14323,-58,494,64,99,-35,5,12075950
Philippines,25061,20675,21,223,55,53,4,0.5,112616098
Hungary,14402,10255,40,1499,54,40,35,6,9609334
Malaysia,27760,29747,-7,835,53,62,-15,2,33228923
Bolivia,33920,33914,0,2826,44,36,22,4,12004365
Hong Kong,31972,29371,9,4194,42,34,24,6,7623538
Singapore,51869,61059,-15,8723,37,27,37,6,5946078
Slovakia,5464,6160,-11,1000,31,25,24,6,5465143
Paraguay,2593,8704,-70,354,30,71,-58,4,7314852
Bosnia and Herzegovina,2182,2283,-4,674,27,17,59,8,3238386
Netherlands,21664,28003,-23,1259,24,37,-35,1,17213743
Sri Lanka,870,522,67,40,22,13,69,1,21600042
Iraq,11792,21968,-46,280,21,23,-9,0.5,42100744
Lebanon,15738,16951,-7,2327,21,21,0,3,6761883
Bangladesh,3049,4653,-34,18,20,26,-23,0.1,168103522
Pakistan,4388,4048,8,19,20,25,-20,0.1,229817854
South Africa,1053,2608,-60,17,20,27,-26,0.3,60864725
Albania,6793,8211,-17,2366,18,12,50,6,2871261
Morocco,2738,5420,-49,72,18,31,-42,0.5,37820938
Cyprus,6863,10152,-32,5599,16,13,23,13,1225646
North Macedonia,4613,4576,0.8,2214,16,18,-11,8,2083196
Slovenia,11110,11574,-4,5343,16,18,-11,8,2079532
Latvia,9417,8908,6,5110,15,6,150,8,1842850
Azerbaijan,2589,1969,31,251,13,12,8,1,10329338
Réunion,5687,0,568700,6259,13,0,1,14,908606
Saudi Arabia,1768,3142,-44,49,12,10,20,0.3,35942111
Barbados,1966,2396,-18,6824,11,4,175,38,288107
El Salvador,850,3943,-78,130,11,12,-8,2,6554297
Switzerland,20896,36213,-42,2378,10,17,-41,1,8786314
Afghanistan,1034,1159,-11,25,9,6,50,0.2,40752734
Jamaica,738,871,-15,247,9,13,-31,3,2988057
Jordan,5417,0,541700,520,9,0,900,0.9,10413903
Nepal,3262,2413,35,108,9,5,80,0.3,30227344
Estonia,2229,4665,-52,1678,8,8,0,6,1328391
Honduras,6109,2561,139,597,8,8,0,0.8,10232418
Micronesia,3372,2034,66,28690,8,1,700,68,117532
Micronesia,3372,2034,66,28690,8,1,700,68,117532
Botswana,289,340,-15,118,7,3,133,3,2450435
Channel Islands,736,1061,-31,4154,7,1,600,40,177198
Malta,537,1026,-48,1209,7,10,-30,16,443989
Montenegro,6447,6043,7,10262,7,8,-13,11,628231
Trinidad and Tobago,1131,1031,10,803,7,7,0,5,1408916
Uruguay,1401,2148,-35,400,7,16,-56,2,3498775
Guadeloupe,3362,3733,-10,8399,6,5,20,15,400266
Malawi,190,268,-29,9,6,6,0,0.3,20158617
Panama,3370,6494,-48,756,6,17,-65,1,4456110
Venezuela,3207,2404,33,113,6,7,-14,0.2,28268374
Georgia,10253,8512,20,2581,5,7,-29,1,3973241
Ecuador,3270,17896,-82,180,4,16,-75,0.2,18200555
Lithuania,5751,5200,11,2176,4,14,-71,2,2643349
Mauritius,225,298,-24,176,4,1,300,3,1276158
Ukraine,598,1897,-68,14,4,12,-67,0.1,43187425
Zimbabwe,88,128,-31,6,4,6,-33,0.3,15313161
Bahrain,3593,5533,-35,1969,3,1,200,2,1824661
Fiji,235,463,-49,258,3,0,300,3,909961
French Guiana,763,891,-14,2424,3,2,50,10,314792
Guinea-Bissau,40,0,4000,19,3,0,300,1,2064793
Isle of Man,158,299,-47,1838,3,1,200,35,85969
UAE,8160,9344,-13,805,3,5,-40,0.3,10139064
Armenia,1434,965,49,482,2,4,-50,0.7,2974765
Aruba,197,233,-15,1829,2,0,200,19,107709
Guinea,50,0,5000,4,2,0,200,0.1,13874077
Mali,13,14,-7,0.6,2,0,200,0.1,21464627
Mauritania,190,370,-49,39,2,1,100,0.4,4903986
Togo,106,148,-28,12,2,3,-33,0.2,8682490
Vietnam,11807,7771,52,119,2,1,100,0,99160960
Yemen,28,0,2800,0.9,2,0,200,0.1,31192930
Cabo Verde,77,131,-41,135,1,0,100,2,568553
Ghana,912,0,91200,28,1,0,100,0,32422677
Ivory Coast,389,397,-2,14,1,2,-50,0,27737554
Kazakhstan,19209,12912,49,998,1,1,0,0.1,19244066
Madagascar,75,127,-41,3,1,1,0,0,29172400
Papua New Guinea,25,11,127,3,1,0,100,0.1,9299707
Qatar,6160,6962,-12,2194,1,0,100,0.4,2807805
Sao Tome and Principe,15,13,15,66,1,0,100,4,227628
Seychelles,111,244,-55,1114,1,0,100,10,99614
Sudan,68,134,-49,1,1,2,-50,0,45979755
