Country,Cases_in_the_last_7_days,Cases_in_the_preceding_7_days,Weekly_Case_%_Change,Cases_in_the_last_7_days/1M_pop,Deaths_in_the_last_7_days,Deaths_in_the_preceding_7_days,Weekly_Death_%_Change,Deaths_in_the_last_7_days/1M_pop,Population
Afghanistan,1034,1159,-11,25,9,6,50,0.2,40752734
Albania,6793,8211,-17,2366,18,12,50,6,2871261
Algeria,647,468,38,14,0,1,-100,0,45498823
Andorra,837,0,83700,10797,0,0,0,0,77522
Angola,0,92,-100,0,0,0,0,0,34993794
Anguilla,37,8,363,2421,0,1,-100,0,15282
Antigua and Barbuda,32,29,10,321,0,0,0,0,99616
Argentina,37675,44881,-16,818,65,80,-19,1,46058736
Armenia,1434,965,49,482,2,4,-50,0.7,2974765
Aruba,197,233,-15,1829,2,0,200,19,107709
Australia,290043,322924,-10,11106,657,510,29,25,26115548
Austria,50224,75070,-33,5511,116,66,76,13,9113317
Azerbaijan,2589,1969,31,251,13,12,8,1,10329338
Bahamas,108,168,-36,269,0,0,0,0,401063
Bahrain,3593,5533,-35,1969,3,1,200,2,1824661
Bangladesh,3049,4653,-34,18,20,26,-23,0.1,168103522
Barbados,1966,2396,-18,6824,11,4,175,38,288107
Belgium,21676,30674,-29,1854,67,96,-30,6,11694561
Belize,254,540,-53,616,0,0,0,0,412649
Benin,45,0,4500,4,0,0,0,0,12783983
Bermuda,0,471,-100,0,0,3,-100,0,61799
Bhutan,162,259,-37,205,0,0,0,0,789288
Bolivia,33920,33914,0,2826,44,36,22,4,12004365
Bosnia and Herzegovina,2182,2283,-4,674,27,17,59,8,3238386
Botswana,289,340,-15,118,7,3,133,3,2450435
Brazil,229820,262568,-12,1065,1500,1634,-8,7,215703263
Brunei,5611,12060,-53,12575,0,0,0,0,446195
Bulgaria,11178,11550,-3,1634,64,43,49,9,6839692
Burkina Faso,0,275,-100,0,0,5,-100,0,22096048
Burundi,871,844,3,69,0,0,0,0,12627743
CAR,60,0,6000,12,0,0,0,0,5004512
Cabo Verde,77,131,-41,135,1,0,100,2,568553
Cambodia,237,132,80,14,0,0,0,0,17200455
Cameroon,0,147,-100,0,0,0,0,0,27920928
Canada,14097,25558,-45,367,109,234,-53,3,38430718
Caribbean Netherlands,207,28,639,7744,0,0,0,0,26730
Cayman Islands,0,406,-100,0,0,0,0,0,67328
Chad,5,2,150,0.3,0,0,0,0,17406702
Channel Islands,736,1061,-31,4154,7,1,600,40,177198
Chile,57276,50328,14,2944,236,253,-7,12,19457638
China,755,1116,-32,0.5,0,0,0,0,1450887087
Colombia,5188,19873,-74,100,70,240,-71,1,52011425
Comoros,28,31,-10,31,0,0,0,0,908149
Congo,171,0,17100,29,0,0,0,0,5800725
Cook Islands,217,61,256,12332,0,0,0,0,17597
Costa Rica,0,13723,-100,0,0,42,-100,0,5190911
Croatia,8867,9616,-8,2188,87,80,9,21,4052626
Cuba,651,680,-4,58,0,0,0,0,11312236
Curaçao,64,131,-51,387,0,0,0,0,165489
Cyprus,6863,10152,-32,5599,16,13,23,13,1225646
Czechia,16156,16639,-3,1503,94,50,88,9,10750310
DPRK,33,920,-96,1,0,0,0,0,26013859
Dem. Rep. Congo,0,245,-100,0,0,0,0,0,95227577
Greenland,8112,9879,-18,1390,64,51,25,11,5834637
Dominican Republic,3032,3506,-14,274,0,0,0,0,11074270
Ecuador,3270,17896,-82,180,4,16,-75,0.2,18200555
El Salvador,850,3943,-78,130,11,12,-8,2,6554297
Equatorial Guinea,37,83,-55,25,0,0,0,0,1498905
Eritrea,108,74,46,30,0,0,0,0,3648560
Estonia,2229,4665,-52,1678,8,8,0,6,1328391
Eswatini,17,22,-23,14,0,0,0,0,1185160
Ethiopia,399,632,-37,3,0,5,-100,0,120889430
Falkland Islands,0,4,-100,0,0,0,0,0,3691
Fiji,235,463,-49,258,3,0,300,3,909961
France,290324,462520,-37,4427,601,700,-14,9,65573982
French Guiana,763,891,-14,2424,3,2,50,10,314792
French Polynesia,442,885,-50,1555,0,0,0,0,284287
Gabon,94,128,-27,40,0,0,0,0,2335022
Gambia,37,50,-26,14,0,0,0,0,2557951
Georgia,10253,8512,20,2581,5,7,-29,1,3973241
Germany,446169,603706,-26,5290,815,774,5,10,84341285
Ghana,912,0,91200,28,1,0,100,0,32422677
Gibraltar,36,40,-10,1069,0,0,0,0,33670
Greece,89425,132967,-33,8668,270,318,-15,26,10317182
Grenada,18,74,-76,158,0,1,-100,0,113608
Guadeloupe,3362,3733,-10,8399,6,5,20,15,400266
Guatemala,22024,31634,-30,1184,111,102,9,6,18605212
Guinea,50,0,5000,4,2,0,200,0.1,13874077
Guinea-Bissau,40,0,4000,19,3,0,300,1,2064793
Guyana,299,489,-39,376,0,4,-100,0,794449
Haiti,49,120,-59,4,0,1,-100,0,11691779
Honduras,6109,2561,139,597,8,8,0,0.8,10232418
Hong Kong,31972,29371,9,4194,42,34,24,6,7623538
Hungary,14402,10255,40,1499,54,40,35,6,9609334
Iceland,524,1248,-58,1515,0,0,0,0,345851
India,128380,135145,-5,91,310,342,-9,0.2,1408236258
Indonesia,37748,35442,7,135,99,64,55,0.4,279542137
Iran,61112,59421,3,709,376,226,66,4,86230076
Iraq,11792,21968,-46,280,21,23,-9,0.5,42100744
Ireland,0,4870,-100,0,0,12,-100,0,5052560
Isle of Man,158,299,-47,1838,3,1,200,35,85969
Israel,25521,38322,-33,2737,95,96,-1,10,9326000
Italy,351248,473649,-26,5827,1165,1019,14,19,60276909
Ivory Coast,389,397,-2,14,1,2,-50,0,27737554
Jamaica,738,871,-15,247,9,13,-31,3,2988057
Japan,1416905,1112517,27,11275,754,330,128,6,125671231
Jordan,5417,0,541700,520,9,0,900,0.9,10413903
